name,locations
voltorb,power-plant-area
voltorb,new-mauville-entrance
voltorb,new-mauville-area
voltorb,team-rocket-hq-area
sandshrew-alola,alola-route-14-area
sandshrew-alola,mount-lanakila-base
sandshrew-alola,mount-lanakila-outside
sandshrew-alola,tapu-village-area
vulpix-alola,alola-route-14-area
vulpix-alola,mount-lanakila-base
vulpix-alola,mount-lanakila-outside
vulpix-alola,tapu-village-area
diglett-alola,alola-route-5-area
diglett-alola,alola-route-7-area
diglett-alola,digletts-tunnel-area
diglett-alola,lush-jungle-east-cave
diglett-alola,seaward-cave-area
diglett-alola,ten-carat-hill-inside
diglett-alola,verdant-cavern-trial-site
dugtrio-alola,haina-desert-area
dugtrio-alola,poni-coast-area
dugtrio-alola,resolution-cave-area
dugtrio-alola,vast-poni-canyon-inside
dugtrio-alola,vast-poni-canyon-northwest
meowth-alola,alola-route-1-hauoli-outskirts
meowth-alola,alola-route-1-trainers-school
meowth-alola,alola-route-2-south
meowth-alola,hauoli-city-shopping-district
meowth-alola,malie-garden-area
persian-alola,malie-garden-area
geodude-alola,alola-route-12-area
geodude-alola,blush-mountain-area
graveler-alola,alola-route-12-area
graveler-alola,alola-route-17-northeast
graveler-alola,blush-mountain-area
grimer-alola,alola-route-1-hauoli-outskirts
grimer-alola,alola-route-1-trainers-school
grimer-alola,hauoli-city-shopping-district
grimer-alola,malie-city-outer-cape
exeggutor-alola,exeggutor-island-area
oricorio-pom-pom,melemele-meadow-area
oricorio-pau,alola-route-6-south
oricorio-sensu,poni-meadow-area
lycanroc-midnight,vast-poni-canyon-outside
zygarde-10,alola-route-16-main
electrode,cerulean-cave-1f
electrode,cerulean-cave-2f
electrode,cerulean-cave-b1f
electrode,power-plant-area
electrode,new-mauville-area
electrode,lost-hotel-area
electrode,team-rocket-hq-area
electrode,team-rockets-castle-area
electrode,team-aqua-hideout-area
electrode,team-magma-hideout-area
electrode,liberty-garden-lighthouse-basement
exeggcute,johto-route-29-area
exeggcute,johto-route-30-area
exeggcute,johto-route-31-area
exeggcute,johto-route-32-area
exeggcute,ilex-forest-area
exeggcute,johto-route-34-area
exeggcute,johto-route-35-area
exeggcute,johto-route-36-area
exeggcute,johto-route-37-area
exeggcute,johto-route-38-area
exeggcute,johto-route-39-area
exeggcute,johto-route-43-area
exeggcute,lake-of-rage-area
exeggcute,kanto-route-26-area
exeggcute,kanto-route-27-area
exeggcute,kanto-safari-zone-middle
exeggcute,kanto-safari-zone-area-1-east
exeggcute,kanto-safari-zone-area-2-north
exeggcute,kanto-safari-zone-area-3-west
exeggcute,berry-forest-area
exeggcute,kalos-route-12-area
exeggcute,azure-bay-area
exeggcute,azalea-town-area
exeggcute,ancient-poni-path-area
exeggcute,exeggutor-island-area
exeggcute,poni-wilds-area
cubone,sinnoh-route-203-area
cubone,rock-tunnel-1f
cubone,rock-tunnel-b1f
cubone,pokemon-tower-3f
cubone,pokemon-tower-4f
cubone,pokemon-tower-5f
cubone,pokemon-tower-6f
cubone,pokemon-tower-7f
cubone,kanto-safari-zone-area-1-east
cubone,kanto-safari-zone-area-2-north
cubone,kanto-safari-zone-area-3-west
cubone,sevault-canyon-area
cubone,glittering-cave-unknown-area-303
cubone,johto-safari-zone-zone-desert
cubone,wela-volcano-park-area
marowak,rock-tunnel-1f
marowak,rock-tunnel-b1f
marowak,kanto-route-9-area
marowak,kanto-route-10-area
marowak,cerulean-cave-2f
marowak,cerulean-cave-b1f
marowak,kanto-victory-road-2-1f
marowak,kanto-victory-road-2-2f
marowak,kanto-victory-road-2-3f
marowak,kanto-safari-zone-area-1-east
marowak,kanto-safari-zone-area-3-west
marowak,sevault-canyon-area
marowak,unova-route-15-area
marowak,johto-safari-zone-zone-desert
marowak,heahea-beach-area
hitmonlee,saffron-city-fighting-dojo
hitmonchan,saffron-city-fighting-dojo
lickitung,lake-valor-area
lickitung,sinnoh-route-215-area
lickitung,johto-route-44-area
lickitung,cerulean-cave-b1f
lickitung,unova-route-2-area
lickitung,challengers-cave-1f
lickitung,challengers-cave-b1f
lickitung,challengers-cave-b2f
lickitung,kalos-victory-road-unknown-area-322
lickitung,kalos-victory-road-unknown-area-324
lickitung,kalos-victory-road-unknown-area-326
lickitung,kalos-victory-road-unknown-area-328
lickitung,johto-safari-zone-zone-mountain
lickitung,poni-gauntlet-area
koffing,stark-mountain-inside
koffing,burned-tower-1f
koffing,burned-tower-b1f
koffing,celadon-city-area
koffing,pokemon-mansion-1f
koffing,pokemon-mansion-2f
koffing,pokemon-mansion-3f
koffing,pokemon-mansion-b1f
koffing,fiery-path-area
koffing,virbank-complex-inner
koffing,johto-safari-zone-zone-marshland
koffing,team-rocket-hq-area
caterpie,eterna-forest-area
caterpie,sinnoh-route-204-south-towards-jubilife-city
caterpie,sinnoh-route-204-north-towards-floaroma-town
caterpie,johto-route-30-area
caterpie,johto-route-31-area
caterpie,ilex-forest-area
caterpie,johto-route-34-area
caterpie,johto-route-35-area
caterpie,national-park-area
caterpie,unknown-all-bugs-area
caterpie,johto-route-36-area
caterpie,johto-route-37-area
caterpie,johto-route-38-area
caterpie,johto-route-39-area
caterpie,lake-of-rage-area
caterpie,kanto-route-26-area
caterpie,kanto-route-27-area
caterpie,kanto-route-2-south-towards-viridian-city
caterpie,kanto-route-24-area
caterpie,kanto-route-25-area
caterpie,kanto-route-2-north-towards-pewter-city
caterpie,viridian-forest-area
caterpie,pattern-bush-area
caterpie,kalos-route-2-area
caterpie,santalune-forest-area
caterpie,azalea-town-area
caterpie,alola-route-1-east
caterpie,alola-route-1-south
caterpie,alola-route-1-west
caterpie,alola-route-5-area
caterpie,lush-jungle-north
caterpie,lush-jungle-south
caterpie,lush-jungle-west
caterpie,melemele-meadow-area
weezing,stark-mountain-area
weezing,stark-mountain-entrance
weezing,stark-mountain-inside
weezing,sinnoh-route-227-area
weezing,burned-tower-b1f
weezing,pokemon-mansion-1f
weezing,pokemon-mansion-2f
weezing,pokemon-mansion-3f
weezing,pokemon-mansion-b1f
weezing,p2-laboratory-area
weezing,johto-safari-zone-zone-marshland
rhyhorn,sinnoh-victory-road-1f
rhyhorn,stark-mountain-area
rhyhorn,stark-mountain-entrance
rhyhorn,sinnoh-route-214-area
rhyhorn,sinnoh-route-227-area
rhyhorn,kanto-victory-road-1-1f
rhyhorn,kanto-victory-road-1-2f
rhyhorn,kanto-victory-road-1-3f
rhyhorn,cerulean-cave-2f
rhyhorn,cerulean-cave-b1f
rhyhorn,kanto-safari-zone-middle
rhyhorn,kanto-safari-zone-area-2-north
rhyhorn,hoenn-safari-zone-nwmach-bike-area
rhyhorn,glittering-cave-unknown-area-303
rhyhorn,johto-safari-zone-zone-savannah
rhyhorn,blush-mountain-area
rhydon,sinnoh-victory-road-1f
rhydon,stark-mountain-area
rhydon,stark-mountain-entrance
rhydon,stark-mountain-inside
rhydon,sinnoh-route-227-area
rhydon,sinnoh-route-228-area
rhydon,kanto-victory-road-1-1f
rhydon,kanto-victory-road-1-2f
rhydon,kanto-victory-road-1-3f
rhydon,cerulean-cave-2f
rhydon,cerulean-cave-b1f
chansey,sinnoh-route-209-area
chansey,sinnoh-route-210-south-towards-solaceon-town
chansey,kanto-route-13-area
chansey,kanto-route-14-area
chansey,kanto-route-15-area
chansey,cerulean-cave-2f
chansey,cerulean-cave-b1f
chansey,kanto-safari-zone-middle
chansey,kanto-safari-zone-area-1-east
chansey,kanto-safari-zone-area-2-north
chansey,alola-route-12-area
chansey,blush-mountain-area
chansey,mount-hokulani-main
chansey,poni-grove-area
chansey,poni-plains-center
tangela,great-marsh-area-1
tangela,great-marsh-area-2
tangela,great-marsh-area-3
tangela,great-marsh-area-4
tangela,great-marsh-area-5
tangela,great-marsh-area-6
tangela,johto-route-44-area
tangela,mt-silver-outside
tangela,kanto-route-28-area
tangela,kanto-sea-route-21-area
tangela,kanto-safari-zone-middle
tangela,kanto-safari-zone-area-3-west
tangela,treasure-beach-area
tangela,giant-chasm-outside
tangela,unova-route-13-area
kangaskhan,rock-tunnel-b1f
kangaskhan,kanto-safari-zone-area-1-east
kangaskhan,kanto-safari-zone-area-2-north
kangaskhan,kanto-safari-zone-area-3-west
kangaskhan,unova-route-15-area
kangaskhan,glittering-cave-unknown-area-303
kangaskhan,johto-safari-zone-zone-wasteland
kangaskhan,wela-volcano-park-area
horsea,sinnoh-sea-route-226-area
horsea,whirl-islands-1f
horsea,whirl-islands-b2f
horsea,whirl-islands-b3f
horsea,seafoam-islands-1f
horsea,seafoam-islands-b1f
horsea,seafoam-islands-b2f
horsea,seafoam-islands-b3f
horsea,seafoam-islands-b4f
horsea,kanto-route-12-area
horsea,kanto-sea-route-19-area
horsea,kanto-sea-route-20-area
horsea,cinnabar-island-area
horsea,cerulean-city-area
horsea,vermilion-city-area
horsea,pallet-town-area
horsea,kanto-route-4-area
horsea,kanto-route-10-area
horsea,kanto-route-11-area
horsea,kanto-route-13-area
horsea,kanto-sea-route-21-area
horsea,kanto-route-24-area
horsea,hoenn-route-132-area
horsea,hoenn-route-133-area
horsea,hoenn-route-134-area
horsea,ss-anne-area
horsea,icefall-cave-waterfall
horsea,kindle-road-area
horsea,treasure-beach-area
horsea,bond-bridge-area
horsea,resort-gorgeous-area
horsea,water-labyrinth-area
horsea,five-isle-meadow-area
horsea,memorial-pillar-area
horsea,outcast-island-area
horsea,green-path-area
horsea,water-path-area
horsea,trainer-tower-area
horsea,tanoby-ruins-area
horsea,one-island-area
horsea,five-island-area
horsea,p2-laboratory-area
horsea,unova-route-18-area
horsea,unova-route-17-area
horsea,ambrette-town-area
horsea,cyllage-city-area
horsea,kalae-bay-area
seadra,sinnoh-sea-route-226-area
seadra,whirl-islands-1f
seadra,whirl-islands-b2f
seadra,whirl-islands-b3f
seadra,seafoam-islands-b1f
seadra,seafoam-islands-b3f
seadra,seafoam-islands-b4f
seadra,kanto-route-12-area
seadra,kanto-sea-route-19-area
seadra,kanto-sea-route-20-area
seadra,cinnabar-island-area
seadra,pallet-town-area
seadra,kanto-route-13-area
seadra,kanto-sea-route-21-area
seadra,cerulean-cave-1f
seadra,cerulean-cave-b1f
seadra,kanto-route-23-area
seadra,icefall-cave-waterfall
seadra,kindle-road-area
seadra,treasure-beach-area
seadra,bond-bridge-area
seadra,resort-gorgeous-area
seadra,water-labyrinth-area
seadra,five-isle-meadow-area
seadra,memorial-pillar-area
seadra,outcast-island-area
seadra,green-path-area
seadra,water-path-area
seadra,trainer-tower-area
seadra,tanoby-ruins-area
seadra,one-island-area
seadra,five-island-area
seadra,p2-laboratory-area
seadra,unova-route-18-area
seadra,unova-route-17-area
seadra,ambrette-town-area
seadra,cyllage-city-area
goldeen,sendoff-spring-area
goldeen,lake-verity-before-galactic-intervention
goldeen,lake-verity-after-galactic-intervention
goldeen,lake-valor-area
goldeen,lake-acuity-area
goldeen,sinnoh-route-203-area
goldeen,sinnoh-route-204-south-towards-jubilife-city
goldeen,sinnoh-route-204-north-towards-floaroma-town
goldeen,sinnoh-route-208-area
goldeen,sinnoh-route-209-area
goldeen,sinnoh-route-212-north-towards-hearthome-city
goldeen,sinnoh-route-214-area
goldeen,sinnoh-route-229-area
goldeen,twinleaf-town-area
goldeen,celestic-town-area
goldeen,resort-area-area
goldeen,union-cave-1f
goldeen,union-cave-b1f
goldeen,slowpoke-well-1f
goldeen,slowpoke-well-b1f
goldeen,johto-route-42-area
goldeen,mt-mortar-1f
goldeen,mt-mortar-upper-cave
goldeen,mt-mortar-b1f
goldeen,dark-cave-violet-city-entrance
goldeen,dark-cave-blackthorn-city-entrance
goldeen,seafoam-islands-b3f
goldeen,seafoam-islands-b4f
goldeen,mt-silver-2f
goldeen,mt-silver-1f-top
goldeen,mt-silver-4f
goldeen,mt-silver-1f
goldeen,mt-silver-top
goldeen,unknown-all-rattata-area
goldeen,kanto-route-12-area
goldeen,kanto-sea-route-19-area
goldeen,kanto-sea-route-20-area
goldeen,cinnabar-island-area
goldeen,viridian-city-area
goldeen,cerulean-city-area
goldeen,vermilion-city-area
goldeen,celadon-city-area
goldeen,fuchsia-city-area
goldeen,pallet-town-area
goldeen,kanto-route-4-area
goldeen,kanto-route-6-area
goldeen,kanto-route-9-area
goldeen,kanto-route-10-area
goldeen,kanto-route-11-area
goldeen,kanto-route-13-area
goldeen,kanto-route-17-area
goldeen,kanto-route-18-area
goldeen,kanto-sea-route-21-area
goldeen,kanto-route-22-area
goldeen,kanto-route-24-area
goldeen,kanto-route-25-area
goldeen,tohjo-falls-area
goldeen,cerulean-cave-1f
goldeen,cerulean-cave-2f
goldeen,cerulean-cave-b1f
goldeen,kanto-route-23-area
goldeen,kanto-safari-zone-middle
goldeen,kanto-safari-zone-area-1-east
goldeen,kanto-safari-zone-area-2-north
goldeen,kanto-safari-zone-area-3-west
goldeen,vermilion-city-ss-anne-dock
goldeen,petalburg-city-area
goldeen,meteor-falls-area
goldeen,meteor-falls-back
goldeen,meteor-falls-b1f
goldeen,meteor-falls-backsmall-room
goldeen,hoenn-victory-road-b2f
goldeen,hoenn-route-102-area
goldeen,hoenn-route-111-area
goldeen,hoenn-route-114-area
goldeen,hoenn-route-117-area
goldeen,hoenn-route-120-area
goldeen,hoenn-safari-zone-nwmach-bike-area
goldeen,hoenn-safari-zone-sw
goldeen,hoenn-safari-zone-expansion-south
goldeen,berry-forest-area
goldeen,icefall-cave-entrance
goldeen,cape-brink-area
goldeen,ruin-valley-area
goldeen,four-island-area
goldeen,striaton-city-area
goldeen,pinwheel-forest-inside
goldeen,unova-route-3-area
goldeen,unova-route-11-area
goldeen,unova-route-14-area
goldeen,abundant-shrine-area
goldeen,lostlorn-forest-area
goldeen,aspertia-city-area
goldeen,unova-route-22-area
goldeen,kalos-route-3-area
goldeen,kalos-route-22-area
goldeen,parfum-palace-area
goldeen,johto-safari-zone-zone-swamp
goldeen,johto-safari-zone-zone-rocky-beach
goldeen,brooklet-hill-north
goldeen,brooklet-hill-south
goldeen,malie-garden-area
seaking,sendoff-spring-area
seaking,lake-verity-before-galactic-intervention
seaking,lake-verity-after-galactic-intervention
seaking,lake-valor-area
seaking,lake-acuity-area
seaking,sinnoh-route-203-area
seaking,sinnoh-route-204-south-towards-jubilife-city
seaking,sinnoh-route-204-north-towards-floaroma-town
seaking,sinnoh-route-208-area
seaking,sinnoh-route-209-area
seaking,sinnoh-route-212-north-towards-hearthome-city
seaking,sinnoh-route-214-area
seaking,sinnoh-route-229-area
seaking,twinleaf-town-area
seaking,celestic-town-area
seaking,resort-area-area
seaking,union-cave-1f
seaking,union-cave-b1f
seaking,slowpoke-well-1f
seaking,slowpoke-well-b1f
seaking,johto-route-42-area
seaking,mt-mortar-1f
seaking,mt-mortar-upper-cave
seaking,mt-mortar-b1f
seaking,dark-cave-violet-city-entrance
seaking,dark-cave-blackthorn-city-entrance
seaking,mt-silver-2f
seaking,mt-silver-1f-top
seaking,mt-silver-4f
seaking,mt-silver-1f
seaking,mt-silver-top
seaking,cerulean-city-area
seaking,fuchsia-city-area
seaking,kanto-route-4-area
seaking,kanto-route-9-area
seaking,kanto-route-10-area
seaking,kanto-route-24-area
seaking,kanto-route-25-area
seaking,tohjo-falls-area
seaking,cerulean-cave-1f
seaking,cerulean-cave-b1f
seaking,kanto-route-23-area
seaking,kanto-safari-zone-middle
seaking,kanto-safari-zone-area-1-east
seaking,kanto-safari-zone-area-2-north
seaking,kanto-safari-zone-area-3-west
seaking,hoenn-safari-zone-nwmach-bike-area
seaking,hoenn-safari-zone-sw
seaking,berry-forest-area
seaking,striaton-city-area
seaking,pinwheel-forest-inside
seaking,unova-route-3-area
seaking,unova-route-11-area
seaking,unova-route-14-area
seaking,abundant-shrine-area
seaking,aspertia-city-area
seaking,unova-route-22-area
seaking,kalos-route-3-area
seaking,kalos-route-22-area
seaking,parfum-palace-area
seaking,johto-safari-zone-zone-swamp
seaking,johto-safari-zone-zone-rocky-beach
seaking,brooklet-hill-north
seaking,brooklet-hill-south
seaking,malie-garden-area
metapod,eterna-forest-area
metapod,johto-route-30-area
metapod,johto-route-31-area
metapod,ilex-forest-area
metapod,johto-route-34-area
metapod,johto-route-35-area
metapod,national-park-area
metapod,johto-route-36-area
metapod,johto-route-37-area
metapod,johto-route-38-area
metapod,johto-route-39-area
metapod,lake-of-rage-area
metapod,kanto-route-26-area
metapod,kanto-route-27-area
metapod,kanto-route-2-south-towards-viridian-city
metapod,kanto-route-24-area
metapod,kanto-route-25-area
metapod,kanto-route-2-north-towards-pewter-city
metapod,viridian-forest-area
metapod,pattern-bush-area
metapod,unova-route-12-area
metapod,santalune-forest-area
metapod,azalea-town-area
metapod,alola-route-1-south
metapod,alola-route-1-west
metapod,alola-route-5-area
metapod,lush-jungle-north
metapod,lush-jungle-south
metapod,lush-jungle-west
metapod,melemele-meadow-area
staryu,canalave-city-area
staryu,sunyshore-city-area
staryu,cherrygrove-city-area
staryu,union-cave-b2f
staryu,johto-route-34-area
staryu,olivine-city-area
staryu,johto-sea-route-40-area
staryu,cianwood-city-area
staryu,johto-route-47-area
staryu,seafoam-islands-1f
staryu,seafoam-islands-b1f
staryu,seafoam-islands-b2f
staryu,seafoam-islands-b3f
staryu,seafoam-islands-b4f
staryu,kanto-sea-route-19-area
staryu,kanto-sea-route-20-area
staryu,cinnabar-island-area
staryu,vermilion-city-area
staryu,pallet-town-area
staryu,kanto-sea-route-21-area
staryu,vermilion-city-ss-anne-dock
staryu,lilycove-city-area
staryu,ss-anne-area
staryu,icefall-cave-waterfall
staryu,one-island-area
staryu,five-island-area
staryu,unova-route-13-area
staryu,undella-town-area
staryu,humilau-city-area
staryu,kalos-route-8-area
staryu,alola-route-7-area
staryu,hano-beach-area
staryu,poke-pelago-poni-island-reached
staryu,poke-pelago-ulaula-island-reached
staryu,poke-pelago-elite-four-defeated
starmie,unova-route-13-area
starmie,undella-town-area
starmie,humilau-city-area
starmie,kalos-route-8-area
starmie,alola-route-7-area
starmie,hano-beach-area
mr-mime,sinnoh-route-218-area
mr-mime,sinnoh-route-222-area
mr-mime,kanto-sea-route-21-area
mr-mime,reflection-cave-unknown-area-305
mr-mime,reflection-cave-unknown-area-306
mr-mime,reflection-cave-unknown-area-307
mr-mime,reflection-cave-unknown-area-308
mr-mime,johto-safari-zone-zone-forest
mr-mime,hauoli-city-shopping-district
mr-mime,poke-pelago-poni-island-reached
mr-mime,poke-pelago-ulaula-island-reached
mr-mime,poke-pelago-elite-four-defeated
scyther,sinnoh-route-210-south-towards-solaceon-town
scyther,sinnoh-route-210-west-towards-celestic-town
scyther,sinnoh-route-215-area
scyther,sinnoh-route-229-area
scyther,kanto-safari-zone-middle
scyther,kanto-safari-zone-area-1-east
scyther,kanto-safari-zone-area-2-north
scyther,kalos-route-21-area
scyther,poni-plains-center
scyther,poke-pelago-elite-four-defeated
jynx,snowpoint-temple-b1f
jynx,snowpoint-temple-b2f
jynx,snowpoint-temple-b3f
jynx,snowpoint-temple-b4f
jynx,snowpoint-temple-b5f
jynx,ice-path-1f
jynx,ice-path-b1f
jynx,ice-path-b2f
jynx,ice-path-b3f
jynx,seafoam-islands-b4f
jynx,giant-chasm-area
jynx,giant-chasm-forest-cave
jynx,frost-cavern-unknown-area-314
jynx,frost-cavern-unknown-area-315
jynx,frost-cavern-unknown-area-316
jynx,frost-cavern-unknown-area-317
jynx,seaward-cave-area
jynx,poke-pelago-poni-island-reached
jynx,poke-pelago-ulaula-island-reached
jynx,poke-pelago-elite-four-defeated
electabuzz,sinnoh-route-222-area
electabuzz,kanto-route-10-area
electabuzz,power-plant-area
electabuzz,alola-route-12-area
electabuzz,blush-mountain-area
electabuzz,mount-hokulani-west
magmar,fuego-ironworks-area
magmar,burned-tower-b1f
magmar,mt-silver-1f
magmar,pokemon-mansion-3f
magmar,pokemon-mansion-b1f
magmar,mt-ember-area
magmar,johto-safari-zone-zone-peak
magmar,wela-volcano-park-area
pinsir,sinnoh-route-229-area
pinsir,kanto-safari-zone-middle
pinsir,kanto-safari-zone-area-1-east
pinsir,kanto-safari-zone-area-2-north
pinsir,kanto-safari-zone-area-3-west
pinsir,hoenn-safari-zone-nwmach-bike-area
pinsir,unova-route-12-area
pinsir,lostlorn-forest-area
pinsir,kalos-route-12-area
pinsir,exeggutor-island-area
pinsir,lush-jungle-north
pinsir,lush-jungle-south
pinsir,lush-jungle-west
pinsir,poni-grove-area
pinsir,poke-pelago-poni-island-reached
pinsir,poke-pelago-ulaula-island-reached
pinsir,poke-pelago-elite-four-defeated
tauros,sinnoh-route-209-area
tauros,sinnoh-route-210-south-towards-solaceon-town
tauros,johto-route-38-area
tauros,johto-route-39-area
tauros,johto-route-48-area
tauros,kanto-safari-zone-area-1-east
tauros,kanto-safari-zone-area-2-north
tauros,kanto-safari-zone-area-3-west
tauros,kalos-route-12-area
tauros,johto-safari-zone-zone-savannah
tauros,paniola-ranch-area
tauros,poni-gauntlet-area
tauros,poni-plains-center
tauros,poni-plains-east
tauros,poni-plains-north
tauros,poni-plains-west
magikarp,canalave-city-area
magikarp,eterna-city-area
magikarp,pastoria-city-area
magikarp,sunyshore-city-area
magikarp,sinnoh-pokemon-league-area
magikarp,valley-windworks-area
magikarp,fuego-ironworks-area
magikarp,mt-coronet-1f-route-207
magikarp,mt-coronet-4f
magikarp,mt-coronet-b1f
magikarp,great-marsh-area-1
magikarp,great-marsh-area-2
magikarp,great-marsh-area-3
magikarp,great-marsh-area-4
magikarp,great-marsh-area-5
magikarp,great-marsh-area-6
magikarp,sinnoh-victory-road-b1f
magikarp,sinnoh-victory-road-inside-b1f
magikarp,ravaged-path-area
magikarp,oreburgh-gate-b1f
magikarp,sendoff-spring-area
magikarp,iron-island-area
magikarp,lake-verity-before-galactic-intervention
magikarp,lake-verity-after-galactic-intervention
magikarp,lake-valor-area
magikarp,lake-acuity-area
magikarp,sinnoh-route-203-area
magikarp,sinnoh-route-204-south-towards-jubilife-city
magikarp,sinnoh-route-204-north-towards-floaroma-town
magikarp,sinnoh-route-205-south-towards-floaroma-town
magikarp,sinnoh-route-205-east-towards-eterna-city
magikarp,sinnoh-route-208-area
magikarp,sinnoh-route-209-area
magikarp,sinnoh-route-210-west-towards-celestic-town
magikarp,sinnoh-route-212-north-towards-hearthome-city
magikarp,sinnoh-route-212-east-towards-pastoria-city
magikarp,sinnoh-route-213-area
magikarp,sinnoh-route-214-area
magikarp,sinnoh-route-218-area
magikarp,sinnoh-route-219-area
magikarp,sinnoh-route-221-area
magikarp,sinnoh-route-222-area
magikarp,sinnoh-route-224-area
magikarp,sinnoh-route-225-area
magikarp,sinnoh-route-227-area
magikarp,sinnoh-route-228-area
magikarp,sinnoh-route-229-area
magikarp,twinleaf-town-area
magikarp,celestic-town-area
magikarp,resort-area-area
magikarp,sinnoh-sea-route-220-area
magikarp,sinnoh-sea-route-223-area
magikarp,sinnoh-sea-route-226-area
magikarp,sinnoh-sea-route-230-area
magikarp,new-bark-town-area
magikarp,cherrygrove-city-area
magikarp,johto-route-30-area
magikarp,johto-route-31-area
magikarp,violet-city-area
magikarp,johto-route-32-area
magikarp,ruins-of-alph-outside
magikarp,union-cave-1f
magikarp,union-cave-b1f
magikarp,union-cave-b2f
magikarp,slowpoke-well-1f
magikarp,slowpoke-well-b1f
magikarp,ilex-forest-area
magikarp,johto-route-34-area
magikarp,johto-route-35-area
magikarp,ecruteak-city-area
magikarp,olivine-city-area
magikarp,johto-sea-route-40-area
magikarp,johto-sea-route-41-area
magikarp,whirl-islands-1f
magikarp,whirl-islands-b2f
magikarp,whirl-islands-b3f
magikarp,cianwood-city-area
magikarp,johto-route-42-area
magikarp,mt-mortar-1f
magikarp,mt-mortar-upper-cave
magikarp,mt-mortar-b1f
magikarp,johto-route-43-area
magikarp,lake-of-rage-area
magikarp,johto-route-44-area
magikarp,blackthorn-city-area
magikarp,dragons-den-area
magikarp,johto-route-45-area
magikarp,dark-cave-violet-city-entrance
magikarp,dark-cave-blackthorn-city-entrance
magikarp,johto-route-47-area
magikarp,mt-moon-mt-moon-square
magikarp,unknown-all-poliwag-area
magikarp,seafoam-islands-b3f
magikarp,seafoam-islands-b4f
magikarp,mt-silver-2f
magikarp,mt-silver-1f-top
magikarp,mt-silver-4f
magikarp,johto-route-47-cave-gate
magikarp,mt-silver-outside
magikarp,mt-silver-1f
magikarp,mt-silver-top
magikarp,unknown-all-rattata-area
magikarp,kanto-route-12-area
magikarp,kanto-sea-route-19-area
